latitude,longitude,nom_commune_complet,nom_departement,nom_region
45.9859131165,4.98196682865,Lapeyrouse,Ain,Auvergne-Rhône-Alpes
45.8108837933,5.77267317838,Lavours,Ain,Auvergne-Rhône-Alpes
46.1086518044,5.87649017888,Léaz,Ain,Auvergne-Rhône-Alpes
46.2855010936,5.92927713771,Lélex,Ain,Auvergne-Rhône-Alpes
46.1160216305,5.20200684747,Lent,Ain,Auvergne-Rhône-Alpes
46.4114892731,5.15107164478,Lescheroux,Ain,Auvergne-Rhône-Alpes
45.9269989549,5.2947657235,Leyment,Ain,Auvergne-Rhône-Alpes
46.1624187428,5.47633297491,Leyssard,Ain,Auvergne-Rhône-Alpes
46.0238143134,5.76236736492,Lhôpital,Ain,Auvergne-Rhône-Alpes
45.7444141403,5.53602066955,Lhuis,Ain,Auvergne-Rhône-Alpes
45.9302479879,5.7413126836,Lochieu,Ain,Auvergne-Rhône-Alpes
45.8105943351,5.52320457866,Lompnas,Ain,Auvergne-Rhône-Alpes
45.9690865613,5.65968816497,Lompnieu,Ain,Auvergne-Rhône-Alpes
45.7921564114,5.21770971647,Loyettes,Ain,Auvergne-Rhône-Alpes
46.061730034,4.78075207026,Lurcy,Ain,Auvergne-Rhône-Alpes
45.7754050255,5.71540945601,Magnieu,Ain,Auvergne-Rhône-Alpes
46.1201642836,5.52854394238,Maillat,Ain,Auvergne-Rhône-Alpes
46.3295545661,5.14386299599,Malafretaz,Ain,Auvergne-Rhône-Alpes
46.4302754511,5.10675899732,Mantenay-Montlin,Ain,Auvergne-Rhône-Alpes
46.3643830585,4.90242777155,Manziat,Ain,Auvergne-Rhône-Alpes
46.3434312497,5.24374534963,Marboz,Ain,Auvergne-Rhône-Alpes
45.7738495266,5.54985181107,Marchamp,Ain,Auvergne-Rhône-Alpes
45.8010384947,5.71570352924,Marignieu,Ain,Auvergne-Rhône-Alpes
46.0549073186,5.0741150816,Marlieux,Ain,Auvergne-Rhône-Alpes
46.3409117711,5.06434294764,Marsonnas,Ain,Auvergne-Rhône-Alpes
46.2030768095,5.61384033805,Martignat,Ain,Auvergne-Rhône-Alpes
45.9094016817,4.82779660051,Massieux,Ain,Auvergne-Rhône-Alpes
45.7571503942,5.7620535823,Massignieu-de-Rives,Ain,Auvergne-Rhône-Alpes
46.2565319445,5.53958933702,Matafelon-Granges,Ain,Auvergne-Rhône-Alpes
46.2565319445,5.53958933702,Matafelon-Granges,Ain,Auvergne-Rhône-Alpes
46.244997627,5.33594738489,Meillonnas,Ain,Auvergne-Rhône-Alpes
46.0648564341,5.44210660051,Mérignat,Ain,Auvergne-Rhône-Alpes
46.0472670758,4.75935643933,Messimy-sur-Saône,Ain,Auvergne-Rhône-Alpes
45.9060530318,5.20404833653,Meximieux,Ain,Auvergne-Rhône-Alpes
46.1427060662,5.3780109646,Bohas-Meyriat-Rignat,Ain,Auvergne-Rhône-Alpes
